file 'bm4ZB.out'; 9 or 999.9999 indicates missing data.
label
ewg       w         rp        v         sd        run       gl        pgk     
cg        gpdh      ninaC     glt       prd       mhc       ddc       duc    
eve       sli       plu       egfr      twi       zip       lsp       ve    
acr       dbi       h         cyc       fz        eip       tra       rdg    
ht        ant       ninaE     fas       mst       odh       tub       hb    
rox       ald       mlc       jan       efi                                   
pc1       adjpc1    area      areat     tibia
BM05-1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2  -0.02029  -0.10774   0.00257   0.00604   0.42600
BM05-2 0 0 2 2 2 0 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2  -0.02019  -0.24533   0.00278   0.00621   0.44800
BM05-3 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 2  -0.01704  -0.19499   0.00303   0.00666   0.45500
BM05-4 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.01700  -0.14100   0.00294   0.00663   0.44400
BM05-5 2 2 2 2 2 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2  -0.01563  -0.19485   0.00326   0.00720   0.45300
BM06-1 2 2 2 2 2 2 1 2 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2  -0.01813  -0.16456   0.00266   0.00626   0.42600
BM06-3 2 2 0 0 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2  -0.00927  -0.05194   0.00446   0.01016   0.43900
BM06-4 0 0 0 0 0 0 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1  -0.01349  -0.11958   0.00363   0.00845   0.42900
BM06-5 2 2 2 2 2 2 2 2 2 2 1 1 9 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 9 1 1 1 1 1  -0.02249  -0.28851   0.00203   0.00475   0.42800
BM07-1 2 2 2 2 2 2 1 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1  -0.01891  -0.22999   0.00273   0.00601   0.45500
BM07-2 0 0 0 0 0 0 2 2 2 2 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2  -0.00766  -0.07024   0.00466   0.01050   0.44400
BM07-3 2 2 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.01759  -0.09482   0.00291   0.00663   0.43900
BM07-4 2 2 2 2 2 0 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 2 2 1 1 1 1 1  -0.02370  -0.18262   0.00224   0.00477   0.46900
BM07-5 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1  -0.02259  -0.26161   0.00211   0.00504   0.41900
BM08-1 0 0 0 0 0 0 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2  -0.01438  -0.18223   0.00338   0.00884   0.38200
BM08-2 2 2 2 2 2 0 2 2 2 2 2 2 2 1 1 1 1 2 1 1 1 1 9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1  -0.01056  -0.07870   0.00411   0.00894   0.46000
BM08-3 0 0 0 0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 1 1  -0.00824  -0.02831   0.00459   0.01047   0.43800
